"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Log in with empty password and valid email","984","Log in with empty password and valid email","TestRail Smoke Test","Sun Jan 19 14:15:29 GMT 2025","passed","Sun Jan 19 14:15:30 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyPassword"
"Log in with not valid credentials: email and password","976","Log in with not valid credentials: email and password","TestRail Smoke Test","Sun Jan 19 14:15:32 GMT 2025","passed","Sun Jan 19 14:15:33 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithNotValidCredentials"
"Add Project with Test Case and delete Test Case","5457","Add Project with Test Case and delete Test Case test case","TestRail Smoke Test","Sun Jan 19 14:16:46 GMT 2025","passed","Sun Jan 19 14:16:52 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkCreatingProjectWithTestCaseAndDeleteTestCase"
"Edit Test Case title in the already created Project","12387","Edit Test Case title in the already created Project","TestRail Smoke Test","Sun Jan 19 14:16:33 GMT 2025","broken","Sun Jan 19 14:16:46 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkEditingTitleTestCase"
"Add 3rd Project with name and variables","3458","Add 3rd Project with name and variables","TestRail Smoke Test","Sun Jan 19 14:15:41 GMT 2025","passed","Sun Jan 19 14:15:44 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkAddingProjectWithVariables"
"Add 2nd project with name only","2479","Add 2nd Project with name only","TestRail Smoke Test","Sun Jan 19 14:15:38 GMT 2025","passed","Sun Jan 19 14:15:40 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkAddingProjectWithNameOnly"
"Create new 4th project and cancel deleting of it","2693","Create new 4th project and cancel deleting of it","TestRail Smoke Test","Sun Jan 19 14:15:48 GMT 2025","passed","Sun Jan 19 14:15:50 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkCancelingProjectDeleting"
"Edit Project name for the first project in the list","2649","Edit Project name for the first project in the list","TestRail Smoke Test","Sun Jan 19 14:15:45 GMT 2025","passed","Sun Jan 19 14:15:47 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkEditProjectName"
"Check elements on Homepage","1667","Check elements on Homepage","TestRail Smoke Test","Sun Jan 19 14:15:33 GMT 2025","passed","Sun Jan 19 14:15:35 GMT 2025","tests.HomepageTest","Thread#1","tests.HomepageTest","checkHomepageElements"
"Log in with empty email and valid password","970","Log in with empty email and valid password","TestRail Smoke Test","Sun Jan 19 14:15:31 GMT 2025","passed","Sun Jan 19 14:15:32 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyEmail"
"Create new 5th project and delete it","2776","Create new 5th project and delete it","TestRail Smoke Test","Sun Jan 19 14:15:51 GMT 2025","passed","Sun Jan 19 14:15:53 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkProjectDeleting"
"Log in to the TestRail with valid credentials","2970","Log in to TestRail with valid credentials","TestRail Smoke Test","Sun Jan 19 14:15:26 GMT 2025","passed","Sun Jan 19 14:15:29 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithValidCredentials"
"Add the 1st Project in TestRail when projects are missing","2189","Add the 1st Project in TestRail when projects are missing","TestRail Smoke Test","Sun Jan 19 14:15:35 GMT 2025","passed","Sun Jan 19 14:15:37 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkCreatingFirstProjectInTestrail"
"Add new Project with Test Case","5308","Add new Project with Test Case","TestRail Smoke Test","Sun Jan 19 14:15:54 GMT 2025","passed","Sun Jan 19 14:15:59 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkCreatingProjectWithTestCase"
"Add Project with two Test Cases and check validation for 'Title' field","8139","Add Project with two Test Cases and check validation for 'Title' field","TestRail Smoke Test","Sun Jan 19 14:15:59 GMT 2025","passed","Sun Jan 19 14:16:08 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkAddAnotherLinkAndValidationForRequiredField"
